symbol,year,z_score,distressed,totalCurrentAssets,totalAssets,retainedEarnings,ebitda,depreciationAndAmortization_income_statement,totalLiabilities,marketcap,revenue
BION.SW,2023,7.64,0,2637154000.0,2637154000.0,2348645000.0,-201256000,-166653000.0,313937000.0,2780000000.0,-199567000
BION.SW,2022,6.44,0,1948000.0,3053389000.0,2711563000.0,-357286000,-314273000.0,367254000.0,3280000000.0,-351227000
BION.SW,2021,8.99,0,2835000.0,3644082000.0,3281618000.0,-402793000,-343595000.0,355000000.0,4670000000.0,-396220000
BION.SW,2020,46.41,0,8337000.0,3963135000.0,3884708000.0,691249000,206297.0,63000000.0,4650000000.0,699233000
BEAN.SW,2023,34.77,0,389806000.0,661989000.0,546552000.0,179952000,35846000.0,131500000.0,6770000000.0,858785000
BEAN.SW,2022,24.77,0,414048000.0,688536000.0,519597000.0,185466000,36670000.0,166779000.0,5850000000.0,846900000
BEAN.SW,2021,34.99,0,408265000.0,660861000.0,503176000.0,178050000,33031999.0,149525000.0,7800000000.0,765343000
BEAN.SW,2020,32.48,0,361316000.0,600074000.0,481457000.0,133745000,31272000.0,110811000.0,5350000000.0,661226000
BELL.SW,2024,3.5,0,1131600000.0,3195600000.0,1675100000.0,351200000,183800000.0,1598000000.0,1830000000.0,4728300000
BELL.SW,2023,3.37,0,1333200000.0,3273500000.0,1632600000.0,335700000,173900000.0,1766200000.0,1890000000.0,4514200000
BELL.SW,2022,3.35,0,1250400000.0,3077200000.0,1525000000.0,320300000,162800000.0,1604800000.0,1610000000.0,4315000000
BELL.SW,2021,3.7,0,1078200000.0,2798300000.0,1402700000.0,322300000,163400000.0,1384200000.0,2000000000.0,4151600000
BBN.SW,2023,9.57,0,95007000.0,155543000.0,110504000.0,23798000,3663000.0,33075000.0,380000000.0,81909000
BBN.SW,2022,8.62,0,64681000.0,185211000.0,120846000.0,34867000,3624000.0,51324000.0,530000000.0,99374000
BBN.SW,2021,7.12,0,84363000.0,226622000.0,129155000.0,60274000,3751000.0,80032000.0,590000000.0,142161000
BBN.SW,2020,6.27,0,82547000.0,235564000.0,141028000.0,46355000,4777000.0,69748000.0,460000000.0,110369000
TIBN.SW,2024,3.34,0,26634000.0,215385000.0,158073000.0,29896000,14240000.0,52611000.0,140000000.0,70403000
TIBN.SW,2023,4.79,0,16026000.0,179719000.0,143034000.0,23214000,12963000.0,31979000.0,160000000.0,68392000
TIBN.SW,2022,4.78,0,20501000.0,163268000.0,132717000.0,16843000,13399000.0,26833000.0,140000000.0,47909000
TIBN.SW,2021,4.48,0,13451000.0,162930000.0,129389999.0,9018999,13685000.0,29819000.0,160000000.0,24002000
BEKN.SW,2023,0.63,0,16207231999.0,40053489000.0,2720934000.0,0,36648000.0,37165986000.0,2590000000.0,532284000
