Company;ISIN;Symbol;Valor Number;Country;Traded Currency;Trading platform;Class of Share;Nominal Value;Listing Segment;Accounting Rules;Next General Meeting;Annual closing date;Auditors;Sustainability report opting in;International recognized standard;Primary listing;Opting Clause
Holcim Ltd;CH0012214059;HOLN;1221405;CH;CHF;XSWX;Registered Share;2.00;International Reporting Standard;IFRS;14.05.2025;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
Huber+Suhner AG;CH0030380734;HUBN;3038073;CH;CHF;XSWX;Registered Share;0.25;Swiss Reporting Standard;Swiss GAAP FER;02.04.2025;31.12.;Ernst & Young AG - CH[500646];No;;TRUE;
Hypothekarbank Lenzburg AG;CH0001341608;HBLN;134160;CH;CHF;XSWX;Registered Share;260.00;Swiss Reporting Standard;Bank law;15.03.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Idorsia Ltd;CH0363463438;IDIA;36346343;CH;CHF;XSWX;Registered Share;0.05;International Reporting Standard;US GAAP;28.05.2025;31.12.;Deloitte AG - CH[500420];No;;TRUE;
Implenia AG;CH0023868554;IMPN;2386855;CH;CHF;XSWX;Registered Share;1.02;International Reporting Standard;IFRS;25.03.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Ina Invest AG;CH0524026959;INA;52402695;CH;CHF;XSWX;Registered Share;0.03;Standard for Real Estate Companies;Swiss GAAP FER;31.03.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Up
INFICON HOLDING AG;CH0011029946;IFCN;1102994;CH;CHF;XSWX;Registered Share;5.00;Swiss Reporting Standard;Swiss GAAP FER;08.04.2025;31.12.;KPMG AG - CH[501403];Yes;Global Reporting Initiative (GRI);TRUE;
Interroll Holding AG;CH0006372897;INRN;637289;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;06.06.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Intershop Holding AG;CH1338987303;ISN;133898730;CH;CHF;XSWX;Registered Share;2.00;Standard for Real Estate Companies;Swiss GAAP FER;01.04.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;Out
Investis Holding SA;CH0325094297;IREN;32509429;CH;CHF;XSWX;Registered Share;0.10;Standard for Real Estate Companies;Swiss GAAP FER;06.05.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;
IVF HARTMANN Holding AG;CH0187624256;VBSN;18762425;CH;CHF;XSWX;Registered Share;1.75;Swiss Reporting Standard;Swiss GAAP FER;15.04.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Jiangsu Eastern Shenghong Co., Ltd.;US47737H1115;DFSH;123408194;10;USD;XSWX;Bearer Share;1.00;Standard for Depository Receipts;China;;31.12.;BDO China Shu Lun Pan Certified Public Accountants LLP - CN;No;;TRUE;
Joincare Pharmaceutical Group Industry Co., Ltd.;US47973H2058;JCARE;120978688;10;USD;XSWX;Bearer Share;1.00;Standard for Depository Receipts;China;;31.12.;Grant Thornton Zhitong Certified Public Accountants LLP - CN;No;;TRUE;
Julius Bär Gruppe AG;CH0102484968;BAER;10248496;CH;CHF;XSWX;Registered Share;0.02;International Reporting Standard;IFRS;10.04.2025;31.12.;KPMG AG - CH[501403];No;;TRUE;
Jungfraubahn Holding AG;CH0017875789;JFN;1787578;CH;CHF;XSWX;Registered Share;1.50;Swiss Reporting Standard;Swiss GAAP FER;12.05.2025;31.12.;BDO AG - CH[500705];No;;TRUE;
Kardex Holding AG;CH0100837282;KARN;10083728;CH;CHF;XSWX;Registered Share;0.45;Swiss Reporting Standard;Swiss GAAP FER;24.04.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Out
Keda Industrial Group Co., Ltd.;US4872351030;KEDA;120555065;10;USD;XSWX;Bearer Share;1.00;Standard for Depository Receipts;China;;31.12.;Zhongxi CPAs (Special General Partnership) - CN;No;;TRUE;
Klingelnberg AG;CH0420462266;KLIN;42046226;CH;CHF;XSWX;Registered Share;5.00;Swiss Reporting Standard;Swiss GAAP FER;21.08.2025;31.03.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;Out
Komax Holding AG;CH0010702154;KOMN;1070215;CH;CHF;XSWX;Registered Share;0.10;Swiss Reporting Standard;Swiss GAAP FER;16.04.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Kudelski S.A.;CH0012268360;KUD;1226836;CH;CHF;XSWX;Bearer Share;8.00;International Reporting Standard;IFRS;17.04.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Kühne + Nagel International AG;CH0025238863;KNIN;2523886;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;07.05.2025;31.12.;KPMG AG - CH[501403];Yes;Global Reporting Initiative (GRI);TRUE;
Kunshan Dongwei Technology Co., Ltd;US50126R1041;KUDO;125377946;10;USD;XSWX;Bearer Share;1.00;Standard for Depository Receipts;China;;31.12.;ShineWing Certified Public Accountants LLP - CN;No;;TRUE;
Kuros Biosciences Ltd.;CH0325814116;KURN;32581411;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;15.04.2025;31.12.;PricewaterhouseCoopers AG - CH[500003];No;;TRUE;
Landis+Gyr Group AG;CH0371153492;LAND;37115349;CH;CHF;XSWX;Registered Share;10.00;International Reporting Standard;US GAAP;25.06.2025;31.03.;PricewaterhouseCoopers AG - CH[500003];Yes;Global Reporting Initiative (GRI);TRUE;
lastminute.com N.V.;NL0010733960;LMN;23806732;NL;CHF;XSWX;Bearer Share;0.01;International Reporting Standard;IFRS;25.06.2025;31.12.;KPMG Accountants N.V. - NL[13000121];No;;TRUE;
Leclanché S.A.;CH0110303119;LECN;11030311;CH;CHF;XSWX;Registered Share;0.10;International Reporting Standard;IFRS;27.06.2025;31.12.;FORVIS MAZARS SA - CH[500241];No;;TRUE;Up
LEM Holding SA;CH0022427626;LEHN;2242762;CH;CHF;XSWX;Registered Share;0.50;International Reporting Standard;IFRS;26.06.2025;31.03.;Ernst & Young AG - CH[500646];Yes;European Sustainability Reporting Standards (ESRS);TRUE;Out
Leonteq AG;CH0190891181;LEON;19089118;CH;CHF;XSWX;Registered Share;1.00;International Reporting Standard;IFRS;27.03.2025;31.12.;Deloitte AG - CH[500420];Yes;Global Reporting Initiative (GRI);TRUE;Out
Lepu Medical Technology (Beijing) Co., Ltd.;US52678P2056;LEPU;121526183;10;USD;XSWX;Bearer Share;1.00;Standard for Depository Receipts;China;;31.12.;BDO China Shu Lun Pan Certified Public Accountants LLP - CN;No;;TRUE;
