,date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,distressed
282,2021-12-31,ELMN.SW,CHF,0,2021-12-31,2021-12-30 19:00:00,2021,FY,149277000,106201000,43076000,0.2885642128,2657000.0,12397000.0,18769000.0,31166000.0,147000.0,33970000,140171000,1000.0,437000.0,3424000.0,12478000,0.08358286940000001,9053000,0.0606456453,-239000,8814000,0.059044594900000004,1275000.0,7539000,0.050503426500000004,32.99,32.99,228492,228492,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
283,2020-12-31,ELMN.SW,CHF,0,2020-12-31,2020-12-30 19:00:00,2020,FY,147036000,108335000,38701000,0.2632076498,2297000.0,11088000.0,18351000.0,29439000.0,117000.0,31853000,140188000,9000.0,526000.0,3745000.0,10311000,0.0700508719,6555000,0.044580919000000004,-447000,6401000,0.0435335564,817000.0,5584000,0.037977094,24.44,24.44,228492,228492,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
284,2024-12-31,EMMN.SW,CHF,0,2024-12-31,2024-12-31 00:00:00,2024,FY,4348812000,2683878000,1664934000,0.3828480054,0.0,72509000.0,149739000.0,222248000.0,1442686000.0,1664934000,4348812000,5359000.0,22024000.0,125730000.0,428443000,0.0985195497,0,0.0,280689000,280689000,0.06454383400000001,42566000.0,220288000,0.050654753500000003,41.18,41.18,5349810,5349810,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
285,2023-12-31,EMMN.SW,CHF,0,2023-12-31,2023-12-29 19:00:00,2023,FY,4242407000,2687246000,1555161000,0.36657515420000003,0.0,66206000.0,140738000.0,206944000.0,1088054000.0,1300582000,3987828000,2515000.0,20169000.0,114686000.0,371780000,0.0876342133,260163000,0.061324385,-22056000,238107000,0.0561254495,32625000.0,186273000,0.0439073856,34.82,34.82,5349810,5349810,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
286,2022-12-31,EMMN.SW,CHF,0,2022-12-31,2022-12-30 19:00:00,2022,FY,4230009000,3414634000,815375000,0.1927596372,0.0,64098000.0,130116000.0,538510000.0,0.0,538510000,3953144000,2155000.0,17543000.0,111273000.0,358509000,0.0917581972,276865000,0.0654525794,-37546000,229693000,0.0543008301,38941000.0,182546000,0.0431549909,34.12,34.12,5349810,5349810,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
287,2021-12-31,EMMN.SW,CHF,0,2021-12-31,2021-12-30 19:00:00,2021,FY,3911861000,3125551000,786310000,0.2010066309,0.0,61600000.0,139056000.0,493834000.0,0.0,493834000,3619385000,675000.0,9791000.0,108756000.0,390717000,0.10256806160000001,292476000,0.0747664603,-6636000,272170000,0.0695755805,45202000.0,216738000,0.0554053429,40.51,40.51,5349810,5349810,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
288,2023-12-31,EMSN.SW,CHF,0,2023-12-31,2023-12-30 19:00:00,2023,FY,2188967000,1593975000,594992000,0.2718140566,46162000.0,30049000.0,31675000.0,61724000.0,0.0,107886000,1696416000,5160000.0,1764000.0,49625000.0,542358000,0.2477689248,492551000,0.2250152698,-618000,491933000,0.2247329448,30730000.0,457578000,0.2090383272,19.56,19.56,23389028,23389028,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
289,2022-12-31,EMSN.SW,CHF,0,2022-12-31,2022-12-30 19:00:00,2022,FY,2441909000,1727984000,713925000,0.2923634746,46646000.0,27811000.0,36690000.0,64501000.0,0.0,111147000,1839131000,905000.0,1429000.0,50424000.0,658402000,0.2674964546,602778000,0.2468470365,3771000,606549000,0.2483913201,71694000.0,532100000,0.217903288,22.75,22.75,23389028,23389028,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
290,2021-12-31,EMSN.SW,CHF,0,2021-12-31,2021-12-30 19:00:00,2021,FY,2253846000,1524183000,729663000,0.32374128490000004,46292000.0,26657000.0,24550000.0,51207000.0,0.0,97499000,1621682000,600000.0,1239000.0,55436000.0,698028000,0.3050785191,632164000,0.28048234,1022000,641353000,0.284559371,88476000.0,550320000,0.2441692999,23.53,23.53,23389028,23389028,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
291,2020-12-31,EMSN.SW,CHF,0,2020-12-31,2020-12-30 19:00:00,2020,FY,1802348000,1205383000,596965000,0.33121517040000004,45956000.0,25460000.0,23001000.0,48461000.0,0.0,94417000,1299800000,581000.0,1164000.0,54320000.0,566195000,0.3089680794,502548000,0.2788296156,8163000,510711000,0.28335870760000004,71050000.0,434340000,0.24098564760000002,18.57,18.57,23389028,23389028,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
