,date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,distressed
215,2020-12-31,CLN.SW,CHF,0,2020-12-31,2020-12-30 19:00:00,2020,FY,799000000,269000000.0,16000000,-11000000.0,-57000000.0,47000000.0,84000000.0,-58000000.0,-130000000.0,-647000000,369000000.0,-299000000.0,1314000000.0,-2000000.0,48000000.0,22000000.0,1083000000.0,-472000000.0,0.0,-1000000.0,-989000000.0,-97000000.0,-1326000000.0,-27000000.0,99000000,737000000,638000000,369000000.0,-299000000.0,70000000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
216,2023-12-31,CLTN.SW,CHF,0,2023-12-31,2023-12-29 19:00:00,2023,FY,11947000,6849000.0,0,0.0,7999000.0,734000.0,1968000.0,3470000.0,1827000.0,-819000,25976000.0,-6869000.0,0.0,0.0,0.0,-1692000.0,-8561000.0,-2071000.0,0.0,-153000.0,-19711000.0,-2071000.0,-21935000.0,-1344000.0,-5864000,18360000,24224000,25976000.0,-8684000.0,17292000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
217,2022-12-31,CLTN.SW,CHF,0,2022-12-31,2022-12-31 00:00:00,2022,FY,25999000,6715000.0,-261000,261000.0,-11679000.0,-1803000.0,-2855000.0,-3668000.0,-3353000.0,2386000,23421000.0,-8318000.0,121000.0,0.0,0.0,-2708999.0,-8197000.0,-4141000.0,0.0,-353000.0,-19716000.0,0.0,-15928000.0,-805000.0,-1509000,24224000,25733000,23421000.0,-8318000.0,15103000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
218,2021-12-31,CLTN.SW,CHF,0,2021-12-31,2021-12-30 19:00:00,2021,FY,31708000,6438000.0,-330000,330000.0,-2548000.0,4352000.0,-11441000.0,4473000.0,68000.0,-3083000,32515000.0,-9904000.0,109000.0,0.0,0.0,-2110000.0,-9795000.0,-22125000.0,0.0,-279000.0,-17924000.0,0.0,-35828000.0,368000.0,-12740000,25733000,38473000,32515000.0,-9904000.0,22611000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
219,2020-12-31,CLTN.SW,CHF,0,2020-12-31,2020-12-30 19:00:00,2020,FY,8232000,10885000.0,-338000,338000.0,2818000.0,3893000.0,2175000.0,-3280000.0,30000.0,12871000,34806000.0,-9470000.0,-1129000.0,0.0,0.0,83000.0,-10516000.0,-29652000.0,0.0,-220000.0,-8963000.0,0.0,-8082000.0,-699000.0,15509000,38473000,22964000,34806000.0,-9470000.0,25336000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
220,2023-12-31,COTN.SW,CHF,0,2023-12-31,2023-12-29 19:00:00,2023,FY,15388000,20018000.0,0,629000.0,-3793000.0,0.0,0.0,0.0,-3793000.0,-9985000,22257000.0,-24450000.0,0.0,0.0,0.0,1609000.0,-22841000.0,-3949000.0,0.0,-1949000.0,-28764000.0,-3138000.0,-33851000.0,-4803000.0,-39238000,86707000,125945000,22257000.0,-26413000.0,-4156000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
221,2022-12-31,COTN.SW,CHF,0,2022-12-31,2022-12-30 19:00:00,2022,FY,78109000,19478000.0,-8572000,1242000.0,-41648000.0,0.0,0.0,0.0,-41648000.0,14620000,63229000.0,-23231000.0,204000.0,0.0,0.0,353000.0,-22674000.0,-4338000.0,0.0,0.0,-27193000.0,-808000.0,-28001000.0,-2142000.0,10412000,125945000,115533000,63229000.0,-23231000.0,39998000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
222,2021-12-31,COTN.SW,CHF,0,2021-12-31,2021-12-30 19:00:00,2021,FY,67437000,18663000.0,-1490000,1256000.0,-16440000.0,0.0,0.0,0.0,-16440000.0,-412000,69014000.0,-13191000.0,-31000.0,0.0,0.0,278000.0,-12944000.0,-497000.0,0.0,0.0,-10098000.0,-6624000.0,-15522000.0,304000.0,40852000,115533000,74681000,69014000.0,-13191000.0,55823000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
223,2020-12-31,COTN.SW,CHF,0,2020-12-31,2020-12-30 19:00:00,2020,FY,27661000,19287000.0,-2802000,518000.0,10789000.0,0.0,0.0,0.0,10789000.0,-178000,55275000.0,-13566000.0,-527999.0,-1379000.0,2760999.0,-2761000.0,-15473000.0,-12000000.0,0.0,0.0,-7764000.0,-6562000.0,-24479000.0,-897000.0,14426000,74681000,60255000,55275000.0,-13566000.0,41709000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
224,2023-12-31,GOB.SW,EUR,0,2023-12-31,2023-12-30 19:00:00,2023,FY,2756000000,2395000000.0,-62000000,0.0,492000000.0,72000000.0,234000000.0,0.0,186000000.0,454000000,6035000000.0,-1971000000.0,-1101000000.0,-233000000.0,3000000.0,72000000.0,-3230000000.0,-993000000.0,213000000.0,-828000000.0,-1013000000.0,669000000.0,-205000000.0,-93000000.0,2468000000,8602000000,6134000000,6035000000.0,-1971000000.0,4064000000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
225,2022-12-31,GOB.SW,EUR,0,2022-12-31,2022-12-31 00:00:00,2022,FY,3101000000,2164000000.0,-21000000,21000000.0,145000000.0,785000000.0,-855000000.0,-785000000.0,1000000000.0,301000000,5711000000.0,-1921000000.0,-2997000000.0,-99000000.0,6000000.0,173000000.0,-4838000000.0,-1286000000.0,222000000.0,-781000000.0,-833000000.0,159000000.0,-1850000000.0,180000000.0,-809000000,6134000000,6943000000,5711000000.0,-1921000000.0,3790000000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
226,2021-12-31,GOB.SW,EUR,0,2021-12-31,2021-12-30 19:00:00,2021,FY,2614000000,2174000000.0,-33000000,33000000.0,-379000000.0,912000000.0,-1179000000.0,-912000000.0,800000000.0,30000000,4439000000.0,-1461000000.0,-1033000000.0,-1066000000.0,4000000.0,1357000000.0,-2199000000.0,-1584000000.0,199000000.0,-854000000.0,-697000000.0,-798000000.0,-3789000000.0,32000000.0,-1500000000,6943000000,8443000000,4439000000.0,-1461000000.0,2978000000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
227,2020-12-31,GOB.SW,EUR,0,2020-12-31,2020-12-30 19:00:00,2020,FY,489000000,2906000000.0,-46000000,46000000.0,1234000000.0,685000000.0,410000000.0,-685000000.0,824000000.0,82000000,4711000000.0,-1236000000.0,-1143000000.0,-1217000000.0,2389000000.0,1401000000.0,194000000.0,-1786000000.0,139000000.0,-658000000.0,0.0,289000000.0,-1300000000.0,-130000000.0,3456000000,8443000000,4987000000,4711000000.0,-1236000000.0,3475000000.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,0
